Crop,State,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rice,Andaman And Nicobar Islands,Kharif,0.13,0.13,0.17,0.11,0.18,0.13,0.13,0.11,0.10,
Rice,Andaman And Nicobar Islands,Rabi,,,,,,,0.00,,,
Rice,Andaman And Nicobar Islands,Total,0.13,0.13,0.17,0.11,0.18,0.13,0.13,0.11,0.10,
Rice,Andhra Pradesh,Kharif,41.05,48.55,49.41,52.43,51.17,42.11,43.26,49.86,46.95,50.31
Rice,Andhra Pradesh,Rabi,33.83,25.97,32.25,29.91,35.42,36.72,34.37,29.56,26.46,29.86
Rice,Andhra Pradesh,Total,74.89,74.52,81.66,82.35,86.59,78.83,77.64,79.42,73.42,80.16
Rice,Arunachal Pradesh,Kharif,2.03,2.19,2.33,2.40,2.44,2.46,2.51,2.53,2.54,
Rice,Arunachal Pradesh,Rabi,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,
Rice,Arunachal Pradesh,Total,2.04,2.20,2.33,2.40,2.45,2.47,2.52,2.54,2.55,
Rice,Assam,Kharif,39.84,35.96,40.92,40.75,39.59,41.43,35.38,45.18,43.74,38.91
Rice,Assam,Rabi,11.41,11.32,11.91,11.46,10.26,10.72,8.44,,,
Rice,Assam,Summer,,,,,,,,11.06,11.64,10.26
Rice,Assam,Total,51.25,47.27,52.84,52.21,49.85,52.15,43.82,56.24,55.39,49.18
Rice,Bihar,Kharif,66.01,80.15,79.49,60.19,61.69,66.11,75.72,68.73,77.29,82.85
Rice,Bihar,Rabi,2.01,2.24,1.44,1.36,1.29,1.36,1.45,,,
Rice,Bihar,Summer,,,,,,,,1.50,1.73,1.56
Rice,Bihar,Total,68.02,82.39,80.93,61.56,62.98,67.47,77.17,70.23,79.02,84.41
Rice,Chandigarh,Kharif,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,
Rice,Chandigarh,Rabi,,,,,,,0.00,,,
Rice,Chandigarh,Total,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,
Rice,Chhattisgarh,Kharif,57.89,80.48,49.31,65.27,67.75,71.61,80.22,98.12,97.03,85.35
Rice,Chhattisgarh,Rabi,,,,,,,0.00,,,
Rice,Chhattisgarh,Total,57.89,80.48,49.31,65.27,67.75,71.61,80.22,98.12,97.03,85.35
Rice,Daman And Diu,Kharif,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,,
Rice,Daman And Diu,Rabi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Rice,Daman And Diu,Total,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,,
Rice,Delhi,Kharif,0.17,0.17,0.17,0.17,0.17,0.20,0.19,0.17,0.17,
Rice,Delhi,Rabi,,,,,,,0.00,,,
Rice,Delhi,Total,0.17,0.17,0.17,0.17,0.17,0.20,0.19,0.17,0.17,
Rice,Goa,Kharif,0.78,0.77,0.71,0.70,0.61,0.62,0.66,0.63,0.68,
Rice,Goa,Rabi,0.37,0.36,0.32,0.29,0.30,0.26,0.25,0.25,0.27,
Rice,Goa,Total,1.15,1.13,1.03,0.99,0.90,0.87,0.90,0.88,0.95,
Rice,Gujarat,Kharif,15.92,17.50,17.50,18.19,18.22,19.37,18.85,21.66,21.38,19.31
Rice,Gujarat,Rabi,1.10,1.80,1.41,0.93,1.62,2.09,2.16,,,
Rice,Gujarat,Summer,,,,,,,,2.30,2.69,3.57
Rice,Gujarat,Total,17.02,19.30,18.91,19.12,19.83,21.46,21.01,23.96,24.07,22.89
Rice,Haryana,Kharif,41.45,44.53,45.23,45.16,48.24,44.25,46.18,51.09,59.76,60.60
Rice,Haryana,Rabi,,,,,,,0.00,,,
Rice,Haryana,Total,41.45,44.53,45.23,45.16,48.24,44.25,46.18,51.09,59.76,60.60
Rice,Himachal Pradesh,Kharif,1.30,1.47,1.15,1.15,1.44,1.40,1.68,1.31,1.73,1.58
Rice,Himachal Pradesh,Rabi,,,,,,,0.00,,,
Rice,Himachal Pradesh,Total,1.30,1.47,1.15,1.15,1.44,1.40,1.68,1.31,1.73,1.58
Rice,Jammu And Kashmir,Kharif,6.46,5.72,5.13,6.16,5.87,5.81,4.93,6.04,6.41,
Rice,Jammu And Kashmir,Rabi,,,,,,,0.00,,,
Rice,Jammu And Kashmir,Total,6.46,5.72,5.13,6.16,5.87,5.81,4.93,6.04,6.41,
Rice,Jharkhand,Kharif,28.82,38.20,40.78,28.94,30.13,27.53,29.30,14.94,15.16,27.77
Rice,Jharkhand,Rabi,0.00,0.22,0.00,0.00,0.00,0.00,0.00,,,
Rice,Jharkhand,Total,28.82,38.42,40.78,28.94,30.13,27.53,29.30,14.94,15.16,27.77
Rice,Karnataka,Kharif,26.42,23.43,22.33,29.45,27.75,31.45,31.22,31.63,28.23,30.21
Rice,Karnataka,Rabi,3.79,2.62,7.84,4.86,8.59,11.47,11.97,2.42,1.16,1.16
Rice,Karnataka,Summer,,,,,,,,8.74,1.89,9.09
Rice,Karnataka,Total,30.21,26.05,30.17,34.31,36.34,42.92,43.18,42.80,31.27,40.46
Rice,Kerala,Kharif,4.07,3.23,3.87,4.30,4.49,4.70,3.42,1.37,1.16,1.15
Rice,Kerala,Rabi,1.43,1.14,1.35,1.49,1.57,1.64,1.45,2.25,1.95,2.03
Rice,Kerala,Summer,,,,,,,,2.34,1.86,2.09
Rice,Kerala,Total,5.49,4.37,5.21,5.78,6.06,6.34,4.87,5.96,4.98,5.28
Rice,Ladakh,Kharif,,,,,,,0.00,,,
Rice,Ladakh,Rabi,,,,,,,0.00,,,
Rice,Ladakh,Total,,,,,,,0.00,,,
Rice,Lakshadweep,Kharif,,,,,,,0.00,,,
Rice,Lakshadweep,Rabi,,,,,,,0.00,,,
Rice,Lakshadweep,Total,,,,,,,0.00,,,
Rice,Madhya Pradesh,Kharif,35.47,41.57,40.95,44.50,46.84,42.87,48.15,70.22,71.11,88.31
Rice,Madhya Pradesh,Rabi,0.00,0.69,0.29,0.45,0.94,1.27,0.00,,,1.55
Rice,Madhya Pradesh,Summer,,,,,,,,,1.29,1.64
Rice,Madhya Pradesh,Total,35.47,42.27,41.24,44.95,47.78,44.14,48.15,70.22,72.40,91.50
Rice,Maharashtra,Kharif,25.17,29.48,26.69,31.44,27.02,30.28,32.95,34.54,34.63,35.62
Rice,Maharashtra,Rabi,0.76,1.62,0.62,1.32,1.96,2.64,3.03,,,
Rice,Maharashtra,Summer,,,,,,,,4.45,4.37,4.47
Rice,Maharashtra,Total,25.93,31.10,27.31,32.76,28.98,32.92,35.98,38.99,39.00,40.08
Rice,Manipur,Kharif,1.12,1.88,1.77,0.89,1.18,0.79,0.15,0.18,0.17,
Rice,Manipur,Rabi,2.27,2.42,4.31,3.13,2.68,5.23,5.52,,,
Rice,Manipur,Summer,,,,,,,,3.31,3.31,
Rice,Manipur,Total,3.39,4.30,6.08,4.02,3.86,6.02,5.67,3.49,3.48,
Rice,Meghalaya,Kharif,2.38,1.61,2.41,1.60,2.40,2.33,2.34,2.22,2.08,
Rice,Meghalaya,Rabi,0.63,0.42,0.63,0.42,0.63,0.63,0.63,0.57,0.57,
Rice,Meghalaya,Total,3.01,2.03,3.05,2.02,3.03,2.96,2.97,2.79,2.65,
Rice,Mizoram,Kharif,0.61,0.61,0.59,0.59,0.59,0.61,0.60,0.39,0.39,
Rice,Mizoram,Rabi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Rice,Mizoram,Total,0.62,0.62,0.60,0.60,0.60,0.62,0.61,0.39,0.40,
Rice,Nagaland,Kharif,3.11,3.28,3.40,3.46,3.53,3.56,1.50,3.64,3.64,
Rice,Nagaland,Rabi,0.08,0.09,0.10,0.10,0.11,0.11,0.00,0.06,0.05,
Rice,Nagaland,Total,3.19,3.37,3.50,3.57,3.63,3.67,1.51,3.70,3.69,
Rice,Odisha,Kharif,50.92,75.32,58.56,68.08,74.28,76.57,81.54,70.81,72.79,84.62
Rice,Odisha,Rabi,7.83,7.94,6.95,9.26,9.33,11.53,11.37,,,
Rice,Odisha,Summer,,,,,,,,11.69,11.95,11.52
Rice,Odisha,Total,58.75,83.26,65.51,77.34,83.60,88.10,92.91,82.50,84.74,96.14
Rice,Puducherry,Kharif,0.32,0.36,0.27,0.47,0.43,0.14,0.13,0.14,0.13,
Rice,Puducherry,Rabi,0.12,0.16,0.16,0.17,0.16,0.36,0.44,0.32,0.32,
Rice,Puducherry,Summer,,,,,,,,0.19,0.16,
Rice,Puducherry,Total,0.44,0.52,0.42,0.63,0.59,0.50,0.57,0.65,0.61,
Rice,Punjab,Kharif,118.23,115.86,133.82,128.22,117.79,127.84,128.85,129.91,143.56,143.61
Rice,Punjab,Rabi,,,,,,,0.00,,,
Rice,Punjab,Total,118.23,115.86,133.82,128.22,117.79,127.84,128.85,129.91,143.56,143.61
Rice,Rajasthan,Kharif,3.70,4.53,4.51,4.53,4.81,6.34,4.79,5.77,7.46,9.16
Rice,Rajasthan,Rabi,,,,,,,0.00,,,
Rice,Rajasthan,Total,3.70,4.53,4.51,4.53,4.81,6.34,4.79,5.77,7.46,9.16
Rice,Sikkim,Kharif,0.13,0.20,0.18,0.17,0.16,0.16,0.16,0.10,0.08,
Rice,Sikkim,Rabi,,,,,,,0.00,,,
Rice,Sikkim,Total,0.13,0.20,0.18,0.17,0.16,0.16,0.16,0.10,0.08,
Rice,Tamil Nadu,Kharif,67.07,21.14,59.23,54.70,63.88,61.37,70.51,25.13,20.90,22.41
Rice,Tamil Nadu,Rabi,8.10,2.55,7.16,6.61,7.83,7.44,8.56,42.56,37.79,38.35
Rice,Tamil Nadu,Summer,,,,,,,,7.88,9.31,10.59
Rice,Tamil Nadu,Total,75.17,23.69,66.39,61.31,71.71,68.81,79.07,75.57,67.99,71.36
Rice,Telangana,Kharif,21.97,26.60,29.46,41.34,40.21,54.40,78.34,88.87,93.44,90.52
Rice,Telangana,Rabi,8.50,25.14,33.16,25.36,34.07,47.78,45.75,69.91,75.30,80.41
Rice,Telangana,Total,30.47,51.73,62.62,66.70,74.28,102.17,124.10,158.77,168.74,170.94
Rice,Tripura,Kharif,5.76,5.83,5.77,5.61,5.82,5.85,5.85,5.77,5.77,
Rice,Tripura,Rabi,2.19,2.32,2.35,2.33,2.28,2.18,2.26,2.12,2.12,
Rice,Tripura,Total,7.95,8.15,8.12,7.93,8.10,8.03,8.11,7.89,7.89,
Rice,Uttar Pradesh,Kharif,124.33,136.80,131.97,154.58,154.37,154.30,151.83,160.33,158.65,202.43
Rice,Uttar Pradesh,Rabi,0.68,0.74,0.77,0.87,0.81,0.90,0.88,,,
Rice,Uttar Pradesh,Summer,,,,,,,,1.10,1.25,6.88
Rice,Uttar Pradesh,Total,125.01,137.54,132.74,155.45,155.18,155.20,152.72,161.43,159.90,209.31
Rice,Uttarakhand,Kharif,5.86,5.73,6.05,5.62,5.98,6.57,6.24,5.57,5.63,5.57
Rice,Uttarakhand,Rabi,0.53,0.57,0.42,0.56,0.61,0.58,0.92,,,
Rice,Uttarakhand,Summer,,,,,,,,0.78,0.81,1.14
Rice,Uttarakhand,Total,6.39,6.30,6.47,6.18,6.58,7.15,7.16,6.34,6.44,6.72
Rice,West Bengal,Kharif,115.24,109.42,106.91,118.92,113.41,118.55,122.05,107.79,109.47,115.72
Rice,West Bengal,Rabi,44.30,43.60,42.77,43.50,45.40,46.69,45.23,,,
Rice,West Bengal,Summer,,,,,,,,47.06,47.39,49.19
Rice,West Bengal,Total,159.54,153.02,149.67,162.42,158.81,165.24,167.29,154.84,156.87,164.91
Wheat,Andaman And Nicobar Islands,Rabi,,,,,,,0.00,,,
Wheat,Andaman And Nicobar Islands,Total,,,,,,,0.00,,,
Wheat,Andhra Pradesh,Rabi,,0.00,0.00,0.00,0.00,0.00,0.00,,,
Wheat,Andhra Pradesh,Total,,0.00,0.00,0.00,0.00,0.00,0.00,,,
Wheat,Arunachal Pradesh,Rabi,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,
Wheat,Arunachal Pradesh,Total,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,
Wheat,Assam,Rabi,0.34,0.23,0.25,0.24,0.14,0.13,0.11,0.12,0.13,0.13
Wheat,Assam,Total,0.34,0.23,0.25,0.24,0.14,0.13,0.11,0.12,0.13,0.13
Wheat,Bihar,Rabi,47.36,51.11,61.04,64.66,55.80,61.50,62.24,65.06,71.68,71.20
Wheat,Bihar,Total,47.36,51.11,61.04,64.66,55.80,61.50,62.24,65.06,71.68,71.20
Wheat,Chandigarh,Rabi,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,
Wheat,Chandigarh,Total,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,
Wheat,Chhattisgarh,Rabi,1.37,1.60,1.31,1.63,1.15,2.48,1.92,1.90,1.81,2.35
Wheat,Chhattisgarh,Total,1.37,1.60,1.31,1.63,1.15,2.48,1.92,1.90,1.81,2.35
Wheat,Daman And Diu,Rabi,,,,,,,0.00,,,
Wheat,Daman And Diu,Total,,,,,,,0.00,,,
Wheat,Delhi,Rabi,0.86,0.87,0.83,0.83,0.83,0.84,0.81,0.81,0.80,
Wheat,Delhi,Total,0.86,0.87,0.83,0.83,0.83,0.84,0.81,0.81,0.80,
Wheat,Goa,Rabi,,,,,,,0.00,,,
Wheat,Goa,Total,,,,,,,0.00,,,
Wheat,Gujarat,Rabi,24.84,27.37,30.69,24.07,33.27,32.59,33.33,34.64,37.73,40.14
Wheat,Gujarat,Total,24.84,27.37,30.69,24.07,33.27,32.59,33.33,34.64,37.73,40.14
Wheat,Haryana,Rabi,113.52,115.47,107.65,125.74,118.76,123.94,104.47,109.29,111.91,114.75
Wheat,Haryana,Total,113.52,115.47,107.65,125.74,118.76,123.94,104.47,109.29,111.91,114.75
Wheat,Himachal Pradesh,Rabi,6.68,7.04,5.66,5.65,5.63,5.70,5.49,5.92,7.86,6.98
Wheat,Himachal Pradesh,Total,6.68,7.04,5.66,5.65,5.63,5.70,5.49,5.92,7.86,6.98
Wheat,Jammu And Kashmir,Rabi,5.41,4.76,4.87,6.72,4.88,4.84,5.84,5.87,5.87,
Wheat,Jammu And Kashmir,Total,5.41,4.76,4.87,6.72,4.88,4.84,5.84,5.87,5.87,
Wheat,Jharkhand,Rabi,2.87,4.25,4.69,3.03,4.39,5.44,5.19,4.39,4.81,5.39
Wheat,Jharkhand,Total,2.87,4.25,4.69,3.03,4.39,5.44,5.19,4.39,4.81,5.39
Wheat,Karnataka,Rabi,1.56,1.71,2.30,1.64,1.80,2.62,2.12,2.00,1.90,2.04
Wheat,Karnataka,Total,1.56,1.71,2.30,1.64,1.80,2.62,2.12,2.00,1.90,2.04
Wheat,Kerala,Rabi,,,,,,,0.00,,,
Wheat,Kerala,Total,,,,,,,0.00,,,
Wheat,Ladakh,Rabi,,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,
Wheat,Ladakh,Total,,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,
Wheat,Lakshadweep,Rabi,,,,,,,0.00,,,
Wheat,Lakshadweep,Total,,,,,,,0.00,,,
Wheat,Madhya Pradesh,Rabi,176.89,179.39,159.11,165.21,196.07,181.82,229.78,227.30,225.81,233.66
Wheat,Madhya Pradesh,Total,176.89,179.39,159.11,165.21,196.07,181.82,229.78,227.30,225.81,233.66
Wheat,Maharashtra,Rabi,9.81,18.75,16.97,12.49,17.94,20.71,21.44,23.74,19.88,22.03
Wheat,Maharashtra,Total,9.81,18.75,16.97,12.49,17.94,20.71,21.44,23.74,19.88,22.03
Wheat,Manipur,Rabi,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,
Wheat,Manipur,Total,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,
Wheat,Meghalaya,Rabi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,
Wheat,Meghalaya,Total,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,
Wheat,Mizoram,Rabi,,,,,,,0.00,,,
Wheat,Mizoram,Total,,,,,,,0.00,,,
Wheat,Nagaland,Rabi,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.03,
Wheat,Nagaland,Total,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.03,
Wheat,Odisha,Rabi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wheat,Odisha,Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wheat,Puducherry,Rabi,,,,,,,0.00,,,
Wheat,Puducherry,Total,,,,,,,0.00,,,
Wheat,Punjab,Rabi,160.77,164.40,178.30,182.62,176.16,171.86,148.61,167.83,177.37,179.05
Wheat,Punjab,Total,160.77,164.40,178.30,182.62,176.16,171.86,148.61,167.83,177.37,179.05
Wheat,Rajasthan,Rabi,98.71,89.85,93.69,100.83,109.16,110.35,100.96,106.36,97.00,113.82
Wheat,Rajasthan,Total,98.71,89.85,93.69,100.83,109.16,110.35,100.96,106.36,97.00,113.82
Wheat,Sikkim,Rabi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wheat,Sikkim,Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wheat,Tamil Nadu,Rabi,,,,,,,0.00,,,
Wheat,Tamil Nadu,Total,,,,,,,0.00,,,
Wheat,Telangana,Rabi,0.08,0.07,0.06,0.09,0.09,0.16,0.14,0.06,0.07,0.05
Wheat,Telangana,Total,0.08,0.07,0.06,0.09,0.09,0.16,0.14,0.06,0.07,0.05
Wheat,Tripura,Rabi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wheat,Tripura,Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wheat,Uttar Pradesh,Rabi,254.25,300.56,318.79,327.41,338.15,355.07,339.50,336.10,353.40,362.42
Wheat,Uttar Pradesh,Total,254.25,300.56,318.79,327.41,338.15,355.07,339.50,336.10,353.40,362.42
Wheat,Uttarakhand,Rabi,7.72,8.82,9.15,9.52,9.04,9.55,8.63,8.31,8.69,8.49
Wheat,Uttarakhand,Total,7.72,8.82,9.15,9.52,9.04,9.55,8.63,8.31,8.69,8.49
Wheat,West Bengal,Rabi,9.60,8.63,3.12,3.38,5.10,5.95,6.56,5.57,5.93,5.63
Wheat,West Bengal,Total,9.60,8.63,3.12,3.38,5.10,5.95,6.56,5.57,5.93,5.63
Sugarcane,Andaman And Nicobar Islands,Kharif,0.01,0.01,0.02,0.03,0.08,0.00,0.03,0.03,0.02,
Sugarcane,Andaman And Nicobar Islands,Total,0.01,0.01,0.02,0.03,0.08,0.00,0.03,0.03,0.02,
Sugarcane,Andhra Pradesh,Kharif,93.53,78.30,77.90,80.95,67.24,41.39,36.45,29.56,22.14,18.60
Sugarcane,Andhra Pradesh,Total,93.53,78.30,77.90,80.95,67.24,41.39,36.45,29.56,22.14,18.60
Sugarcane,Arunachal Pradesh,Kharif,0.41,0.38,0.38,0.46,0.39,0.46,0.46,0.47,0.47,
Sugarcane,Arunachal Pradesh,Total,0.41,0.38,0.38,0.46,0.39,0.46,0.46,0.47,0.47,
Sugarcane,Assam,Kharif,10.38,12.07,11.43,10.94,12.18,10.93,11.60,12.64,13.80,12.63
Sugarcane,Assam,Total,10.38,12.07,11.43,10.94,12.18,10.93,11.60,12.64,13.80,12.63
Sugarcane,Bihar,Kharif,126.49,130.36,138.25,201.16,135.79,121.10,120.26,127.43,120.84,118.12
Sugarcane,Bihar,Total,126.49,130.36,138.25,201.16,135.79,121.10,120.26,127.43,120.84,118.12
Sugarcane,Chandigarh,Kharif,,0.00,0.00,0.00,0.00,0.00,0.00,,,
Sugarcane,Chandigarh,Total,,0.00,0.00,0.00,0.00,0.00,0.00,,,
Sugarcane,Chhattisgarh,Kharif,0.68,8.48,11.58,14.52,17.59,17.56,19.58,23.88,20.41,18.58
Sugarcane,Chhattisgarh,Total,0.68,8.48,11.58,14.52,17.59,17.56,19.58,23.88,20.41,18.58
Sugarcane,Daman And Diu,Kharif,,,,,,,0.00,,,
Sugarcane,Daman And Diu,Total,,,,,,,0.00,,,
Sugarcane,Delhi,Kharif,,,,,,,0.00,,,
Sugarcane,Delhi,Total,,,,,,,0.00,,,
Sugarcane,Goa,Kharif,,0.40,0.00,0.35,0.54,0.36,0.35,0.30,0.26,
Sugarcane,Goa,Total,,0.40,0.00,0.35,0.54,0.36,0.35,0.30,0.26,
Sugarcane,Gujarat,Kharif,111.20,119.50,120.72,113.26,115.70,169.55,174.59,134.61,144.80,143.08
Sugarcane,Gujarat,Total,111.20,119.50,120.72,113.26,115.70,169.55,174.59,134.61,144.80,143.08
Sugarcane,Haryana,Kharif,66.92,82.23,96.33,85.05,77.30,85.32,88.23,88.60,73.74,58.43
Sugarcane,Haryana,Total,66.92,82.23,96.33,85.05,77.30,85.32,88.23,88.60,73.74,58.43
Sugarcane,Himachal Pradesh,Kharif,0.39,0.21,0.37,0.33,0.32,0.23,0.23,0.22,0.22,0.22
Sugarcane,Himachal Pradesh,Total,0.39,0.21,0.37,0.33,0.32,0.23,0.23,0.22,0.22,0.22
Sugarcane,Jammu And Kashmir,Kharif,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sugarcane,Jammu And Kashmir,Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sugarcane,Jharkhand,Kharif,7.09,5.13,5.75,0.00,0.00,0.00,0.00,,,
Sugarcane,Jharkhand,Total,7.09,5.13,5.75,0.00,0.00,0.00,0.00,,,
Sugarcane,Karnataka,Kharif,378.34,273.78,311.35,424.08,381.81,425.28,611.52,593.46,418.11,498.60
Sugarcane,Karnataka,Total,378.34,273.78,311.35,424.08,381.81,425.28,611.52,593.46,418.11,498.60
Sugarcane,Kerala,Kharif,1.38,1.13,1.15,1.06,1.21,1.07,0.10,1.01,0.76,0.49
Sugarcane,Kerala,Total,1.38,1.13,1.15,1.06,1.21,1.07,0.10,1.01,0.76,0.49
Sugarcane,Ladakh,Kharif,,,,,,,0.00,,,
Sugarcane,Ladakh,Total,,,,,,,0.00,,,
Sugarcane,Lakshadweep,Kharif,,,,,,,0.00,,,
Sugarcane,Lakshadweep,Total,,,,,,,0.00,,,
Sugarcane,Madhya Pradesh,Kharif,52.81,47.30,54.30,52.82,74.34,54.41,53.79,64.44,75.90,74.10
Sugarcane,Madhya Pradesh,Total,52.81,47.30,54.30,52.82,74.34,54.41,53.79,64.44,75.90,74.10
Sugarcane,Maharashtra,Kharif,736.80,522.62,829.84,897.68,693.12,1051.38,1160.76,1239.68,1120.88,1099.90
Sugarcane,Maharashtra,Total,736.80,522.62,829.84,897.68,693.12,1051.38,1160.76,1239.68,1120.88,1099.90
Sugarcane,Manipur,Kharif,3.48,3.48,3.48,3.15,0.00,2.79,2.79,2.90,2.78,
Sugarcane,Manipur,Total,3.48,3.48,3.48,3.15,0.00,2.79,2.79,2.90,2.78,
Sugarcane,Meghalaya,Kharif,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sugarcane,Meghalaya,Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sugarcane,Mizoram,Kharif,0.51,0.51,0.45,0.44,0.44,0.43,0.37,0.41,0.24,
Sugarcane,Mizoram,Total,0.51,0.51,0.45,0.44,0.44,0.43,0.37,0.41,0.24,
Sugarcane,Nagaland,Kharif,1.90,1.92,1.93,1.93,1.94,2.03,1.05,1.08,1.15,
Sugarcane,Nagaland,Total,1.90,1.92,1.93,1.93,1.94,2.03,1.05,1.08,1.15,
Sugarcane,Odisha,Kharif,5.77,3.44,2.40,4.18,5.05,3.81,3.98,3.94,4.12,6.75
Sugarcane,Odisha,Total,5.77,3.44,2.40,4.18,5.05,3.81,3.98,3.94,4.12,6.75
Sugarcane,Puducherry,Kharif,2.14,0.00,1.81,1.88,1.83,1.87,0.00,1.61,1.51,
Sugarcane,Puducherry,Total,2.14,0.00,1.81,1.88,1.83,1.87,0.00,1.61,1.51,
Sugarcane,Punjab,Kharif,66.07,71.52,80.24,77.74,73.02,74.87,71.31,75.06,75.10,70.33
Sugarcane,Punjab,Total,66.07,71.52,80.24,77.74,73.02,74.87,71.31,75.06,75.10,70.33
Sugarcane,Rajasthan,Kharif,5.31,4.89,3.82,4.48,3.26,3.94,3.21,3.10,3.45,4.65
Sugarcane,Rajasthan,Total,5.31,4.89,3.82,4.48,3.26,3.94,3.21,3.10,3.45,4.65
Sugarcane,Sikkim,Kharif,,,,,,,0.00,,,
Sugarcane,Sikkim,Total,,,,,,,0.00,,,
Sugarcane,Tamil Nadu,Kharif,254.94,189.88,171.54,171.40,141.19,132.85,161.66,176.58,159.27,132.08
Sugarcane,Tamil Nadu,Total,254.94,189.88,171.54,171.40,141.19,132.85,161.66,176.58,159.27,132.08
Sugarcane,Telangana,Kharif,24.05,20.61,26.04,31.84,20.13,17.51,28.65,29.43,24.33,19.53
Sugarcane,Telangana,Total,24.05,20.61,26.04,31.84,20.13,17.51,28.65,29.43,24.33,19.53
Sugarcane,Tripura,Kharif,0.40,0.44,0.42,0.36,0.36,0.49,0.48,0.38,0.38,
Sugarcane,Tripura,Total,0.40,0.44,0.42,0.36,0.36,0.49,0.48,0.38,0.38,
Sugarcane,Uttar Pradesh,Kharif,1453.85,1401.69,1770.33,1797.15,1795.39,1783.39,1791.67,2242.46,2158.11,2129.20
Sugarcane,Uttar Pradesh,Total,1453.85,1401.69,1770.33,1797.15,1795.39,1783.39,1791.67,2242.46,2158.11,2129.20
Sugarcane,Uttarakhand,Kharif,58.86,64.77,62.71,63.29,69.38,36.80,35.20,37.60,77.76,80.24
Sugarcane,Uttarakhand,Total,58.86,64.77,62.71,63.29,69.38,36.80,35.20,37.60,77.76,80.24
Sugarcane,West Bengal,Kharif,20.75,15.50,14.37,13.35,15.28,14.18,15.91,14.43,11.04,8.80
Sugarcane,West Bengal,Total,20.75,15.50,14.37,13.35,15.28,14.18,15.91,14.43,11.04,8.80